country_code,raised_amount_usd
ARE,342617539.0
ARG,314338819.0
ARM,26517500.0
AUS,1319028698.0
AUT,583360681.0
BAH,8900000.0
BEL,1030839980.0
BGD,7002000.0
BGR,11300000.0
BMU,288800000.0
BRA,1785817890.0
BWA,2250000.0
CAN,9482217668.0
CHE,2801560264.0
CHL,30406239.0
CHN,39338918773.0
CMR,359561.0
COL,100126293.0
CYM,79587857.0
CYP,81000000.0
CZE,178341562.0
DEU,6306921981.0
DNK,1228310641.0
ECU,965850.0
EGY,268225000.0
ESP,1827622434.0
EST,96729971.0
FIN,1043199709.0
FRA,7226851352.0
GBR,20072813004.0
GGY,3960000.0
GHA,31200000.0
GIB,32929912.0
GRC,10743775.0
GTM,300000.0
HKG,781266982.0
HRV,2633669.0
HUN,32067281.0
IDN,288492285.0
IND,14261508718.0
IRL,1669285543.0
ISL,93562550.0
ISR,6854350477.0
ITA,488289353.0
JOR,28850000.0
JPN,3167647127.0
KAZ,11000000.0
KEN,53940000.0
KNA,15000000.0
KOR,891988262.0
KWT,14000000.0
LAO,2100000.0
LBN,6455000.0
LIE,13091716.0
LTU,86042880.0
LUX,363100678.0
LVA,23679342.0
MAF,29243184.0
MAR,1600000.0
MCO,657000.0
MEX,190873643.0
MLT,17728300.0
MMR,200000.0
MNE,12200000.0
MUS,1500000.0
MYS,883058787.0
NGA,183440000.0
NLD,2903875785.0
NOR,953636117.0
NZL,448316383.0
PAK,83125000.0
PAN,2100000.0
PER,2469270.0
PHL,114499742.0
POL,121502702.0
PRI,1441901.0
PRT,137059950.0
ROM,18406654.0
RUS,1570426005.0
SAU,500000.0
SEN,2860000.0
SGP,2793917856.0
SVK,8241062.0
SVN,12017508.0
SWE,3145856571.0
TAN,79450000.0
THA,106060000.0
TTO,8500000.0
TUN,3920000.0
TUR,559097457.0
TWN,623979485.0
UGA,2500000.0
UKR,17792461.0
URY,19830000.0
USA,420068029342.0
VNM,47320509.0
ZAF,233713106.0
